,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Weather Condition
260,Curuguaty,-24.4694,-55.6945,68.16,95,48,3.49,PY,scattered clouds
261,Emerald,-23.5333,148.1667,90.34,33,89,5.75,AU,overcast clouds
262,Baruun-Urt,46.6806,113.2792,29.84,44,100,15.03,MN,overcast clouds
263,Kharp,66.8014,65.8081,7.65,91,98,8.1,RU,overcast clouds
264,Kommunar,59.6206,30.39,48.51,92,53,9.46,RU,broken clouds
265,Lumby,50.2498,-118.969,41.85,65,53,4.61,CA,broken clouds
266,Pedasi,7.5333,-80.0333,77.07,87,100,6.6,PA,overcast clouds
267,Nexo,55.0607,15.1306,51.89,75,56,17.11,DK,broken clouds
268,Luderitz,-26.6481,15.1594,58.96,78,0,7.65,NA,clear sky
269,Kruisfontein,-34.0033,24.7314,59.88,84,3,16.55,ZA,clear sky
270,North Bend,43.4065,-124.2243,54.91,93,90,11.5,US,light rain
271,Nianzishan,47.5167,122.8833,39.4,50,100,20.15,CN,overcast clouds
272,Vila Franca Do Campo,37.7167,-25.4333,73.2,92,80,19.04,PT,broken clouds
273,La Colorada,8.0167,-80.9833,73.8,96,100,5.23,PA,overcast clouds
274,Vao,-22.6667,167.4833,71.55,70,19,7.65,NC,few clouds
275,Ilulissat,69.2167,-51.1,24.82,80,20,2.3,GL,few clouds
276,Aksarka,66.5606,67.7975,7.38,94,98,4.16,RU,overcast clouds
277,Port Shepstone,-30.7414,30.455,65.3,88,100,20.09,ZA,light rain
278,Vysotsk,60.6288,28.5705,47.86,91,57,14.9,RU,broken clouds
279,Maraa,-1.8333,-65.3667,76.48,84,82,0.94,BR,broken clouds
280,Saint George,37.1041,-113.5841,72.19,40,1,1.99,US,clear sky
281,Alta Floresta,-9.8756,-56.0861,72.59,86,24,3.67,BR,few clouds
282,Hun,29.1268,15.9477,65.39,38,0,3.36,LY,clear sky
283,Isangel,-19.55,169.2667,82.51,78,75,5.75,VU,broken clouds
284,Los Llanos De Aridane,28.6585,-17.9182,64.15,81,0,7.0,ES,clear sky
285,Hami,42.8,93.45,51.49,37,93,2.28,CN,overcast clouds
286,Kozhva,65.1073,57.0459,17.15,89,100,7.81,RU,overcast clouds
287,Meulaboh,4.1363,96.1285,76.14,92,100,2.42,ID,overcast clouds
288,Shingu,33.7333,135.9833,67.19,63,98,2.8,JP,overcast clouds
289,Suluq,31.6682,20.2521,65.79,78,1,6.06,LY,clear sky
290,Souillac,-20.5167,57.5167,71.98,94,75,3.44,MU,broken clouds
291,Henties Bay,-22.116,14.2845,56.86,86,0,3.18,NA,clear sky
292,Vacha,55.8008,42.7706,43.14,95,91,12.21,RU,overcast clouds
293,Mut,36.6439,33.4389,53.46,65,1,3.51,TR,clear sky
294,San Patricio,28.017,-97.5169,72.84,28,0,7.23,US,clear sky
295,Dudinka,69.4058,86.1778,20.73,95,100,12.28,RU,light snow
296,Beyneu,45.3167,55.2,52.0,45,99,5.99,KZ,overcast clouds
297,Tommot,58.9564,126.2925,20.8,72,100,9.35,RU,overcast clouds
298,Progreso,21.2833,-89.6667,75.31,57,35,11.86,MX,scattered clouds
299,Yar-Sale,66.8333,70.8333,13.1,91,100,22.03,RU,overcast clouds
300,Ushtobe,45.2514,77.9838,45.27,80,34,5.79,KZ,scattered clouds
301,Havoysund,70.9963,24.6622,40.08,71,100,30.78,NO,overcast clouds
302,Talaya,61.3833,152.75,5.97,89,55,3.02,RU,broken clouds
303,Chokurdakh,70.6333,147.9167,-14.4,99,100,2.37,RU,overcast clouds
304,Devils Lake,48.1128,-98.8651,53.58,56,1,8.01,US,clear sky
305,Havelock,34.8791,-76.9013,67.95,74,3,1.99,US,clear sky
306,Beringovskiy,63.05,179.3167,16.47,93,100,3.24,RU,light snow
307,Te Anau,-45.4167,167.7167,67.05,50,91,7.9,NZ,overcast clouds
308,Port Lincoln,-34.7333,135.8667,59.54,49,24,7.58,AU,few clouds
309,Fairlie,55.756,-4.8556,49.23,94,100,1.99,GB,light rain
310,Kununurra,-15.7667,128.7333,93.18,52,9,9.22,AU,clear sky
311,Timmins,48.4669,-81.3331,40.82,87,40,2.3,CA,scattered clouds
312,Mancio Lima,-7.6142,-72.8958,71.83,97,11,2.24,BR,few clouds
313,Lively,46.4334,-81.1498,47.21,85,65,6.8,CA,broken clouds
314,Alyangula,-13.8483,136.4192,89.47,66,75,8.05,AU,broken clouds
315,Muisne,0.6,-80.0333,75.2,81,68,8.59,EC,broken clouds
316,Cabo San Lucas,22.8909,-109.9124,80.06,69,1,9.22,MX,clear sky
317,Kuloy,61.0305,42.4925,44.46,89,100,10.22,RU,overcast clouds
318,Tsagan Aman,47.5639,46.7218,38.7,93,5,7.16,RU,clear sky
319,Upernavik,72.7868,-56.1549,19.24,61,0,7.65,GL,clear sky
320,Bisauli,28.3167,78.9333,66.92,66,0,4.81,IN,clear sky
321,Aykhal,66.0,111.5,4.48,96,100,9.33,RU,overcast clouds
322,Kalmunai,7.4167,81.8167,80.26,81,100,3.0,LK,overcast clouds
323,Cap Malheureux,-19.9842,57.6142,72.09,91,44,1.01,MU,scattered clouds
324,Pearl,32.2746,-90.132,55.54,86,75,6.91,US,broken clouds
325,Jining,35.405,116.5814,69.01,1,0,6.2,CN,clear sky
326,Novaya Zaimka,56.4857,66.9241,22.71,75,100,10.47,RU,overcast clouds
327,Yulara,-25.2406,130.9889,67.84,32,90,12.66,AU,heavy intensity rain
328,Sibolga,1.7427,98.7792,83.05,71,100,0.38,ID,overcast clouds
329,Vila Velha,-20.3297,-40.2925,73.35,88,90,12.66,BR,light intensity drizzle
330,Kichera,55.9375,110.0997,23.2,64,98,1.43,RU,overcast clouds
331,Ibiruba,-28.6275,-53.0897,65.41,88,51,7.56,BR,light rain
332,Buenos Aires,-34.6132,-58.3772,75.97,79,0,11.5,AR,clear sky
333,Dali,25.7,100.1833,61.7,75,2,2.26,CN,clear sky
334,Saldanha,-33.0117,17.9442,57.25,91,0,8.14,ZA,clear sky
335,Kamaishi,39.2667,141.8833,50.95,60,1,4.47,JP,clear sky
336,Marawi,7.9986,124.2928,73.65,66,67,3.83,PH,broken clouds
337,Calvinia,-31.4707,19.776,53.76,71,0,2.57,ZA,clear sky
338,Waldoboro,44.0954,-69.3756,47.35,93,3,3.58,US,clear sky
339,New Richmond,45.123,-92.5366,49.46,87,0,0.0,US,clear sky
340,Mehamn,71.0357,27.8492,40.14,82,80,27.69,NO,broken clouds
341,Sinnamary,5.3833,-52.95,79.2,83,9,9.4,GF,clear sky
342,Quatre Cocos,-20.2078,57.7625,71.71,82,59,4.56,MU,broken clouds
343,Kannangad,12.3081,75.1063,78.1,87,100,4.72,IN,overcast clouds
344,Roseland,38.4221,-122.728,70.43,79,75,4.0,US,broken clouds
345,Russell,32.3502,-85.1999,53.2,78,90,6.91,US,overcast clouds
346,Warmbad,-28.45,18.7333,61.97,55,0,4.79,NA,clear sky
